INFO: Step: 1510        Loss (uniform, nss, element centers, inside box): (0.011607956, [0.00029442285, 0.011235709, 7.782443e-05, 0.0])        Steps/second: 1.304074963765107
INFO: Step: 1520        Loss (uniform, nss, element centers, inside box): (0.011708984, [0.0012639933, 0.0104349805, 1.001e-05, 0.0])   Steps/second: 1.6602310657226123
INFO: Step: 1530        Loss (uniform, nss, element centers, inside box): (0.01125304, [0.00018507661, 0.011057953, 1.001e-05, 0.0])    Steps/second: 1.89619796463282
INFO: Step: 1540        Loss (uniform, nss, element centers, inside box): (0.013831301, [0.0011011437, 0.012720147, 1.001e-05, 0.0])    Steps/second: 1.85824760457833
INFO: Step: 1550        Loss (uniform, nss, element centers, inside box): (0.0113886, [0.00101297, 0.010303693, 7.193735e-05, 0.0])     Steps/second: 1.8556382671948437
INFO: Step: 1560        Loss (uniform, nss, element centers, inside box): (0.013254785, [0.0019453119, 0.011237992, 7.148126e-05, 0.0]) Steps/second: 1.7776629486790219
INFO: Step: 1570        Loss (uniform, nss, element centers, inside box): (0.013150321, [0.001041877, 0.012098434, 1.001e-05, 0.0])     Steps/second: 1.7102639552561483
INFO: Step: 1580        Loss (uniform, nss, element centers, inside box): (0.011050273, [0.00030969898, 0.010669003, 7.157032e-05, 0.0])        Steps/second: 1.6449074079157844
INFO: Step: 1590        Loss (uniform, nss, element centers, inside box): (0.011517745, [0.0007454209, 0.010762314, 1.001e-05, 0.0])    Steps/second: 1.5561565200421326
INFO: Step: 1600        Loss (uniform, nss, element centers, inside box): (0.011092112, [0.00023600267, 0.0108461, 1.001e-05, 0.0])     Steps/second: 1.667105207303061
INFO: Step: 1610        Loss (uniform, nss, element centers, inside box): (0.011054461, [0.00013768162, 0.010845468, 7.1310016e-05, 0.0])       Steps/second: 1.6434844658676662
INFO: Step: 1620        Loss (uniform, nss, element centers, inside box): (0.011530006, [0.00029846656, 0.01122153, 1.001e-05, 0.0])    Steps/second: 1.6472471973986849
INFO: Step: 1630        Loss (uniform, nss, element centers, inside box): (0.013195866, [0.00089852675, 0.012287329, 1.001e-05, 0.0])   Steps/second: 1.5906228467802328
INFO: Step: 1640        Loss (uniform, nss, element centers, inside box): (0.01278713, [0.00041408069, 0.012363039, 1.001e-05, 0.0])    Steps/second: 1.6955414695584239
INFO: Step: 1650        Loss (uniform, nss, element centers, inside box): (0.011735059, [3.649033e-05, 0.011688559, 1.001e-05, 0.0])    Steps/second: 1.6783369454576826
INFO: Step: 1660        Loss (uniform, nss, element centers, inside box): (0.013149269, [0.001780427, 0.011358832, 1.001e-05, 0.0])     Steps/second: 1.658958448159625
